origin,split,model,wape,bias,mean_rmsse
1745,validation,Weekly seasonal naive,0.5578570515279376,0.05178365937859609,0.8378629423047168
1745,validation,Weekday mean 56d,0.5388377445339471,0.177279120317095,0.7782493234325119
1745,validation,Gradient boosting,0.4665423593019267,0.11707990236246696,0.6900940383416659
1773,validation,Weekly seasonal naive,0.6411014860201423,0.07162476230720473,1.0185349916467543
1773,validation,Weekday mean 56d,0.632984717233608,0.18592858652017746,0.8432496400714445
1773,validation,Gradient boosting,0.5438897530864167,0.15178753883357718,0.789840016094853
1801,validation,Weekly seasonal naive,0.5908699966920278,-0.10473040026463777,0.8277508539498001
1801,validation,Weekday mean 56d,0.5225438306318227,-0.012868011908699966,0.7172687172240483
1801,validation,Gradient boosting,0.4814526102211184,0.07031933415629836,0.6472557760407743
1829,test,Weekly seasonal naive,0.49591021495149323,-0.08059095808762919,0.8372803094981838
1829,test,Weekday mean 56d,0.4782670724747955,-0.07063597742692283,0.7254024779235448
1829,test,Gradient boosting,0.4523460659203287,-0.006970784470993889,0.7007077917390417
1857,test,Weekly seasonal naive,0.4717231399975883,-0.06668274448329917,0.8447805136512463
1857,test,Weekday mean 56d,0.42808694079344023,-0.06891354154105872,0.7514361555267114
1857,test,Gradient boosting,0.43457655811680207,0.02472255691984181,0.7100465213204594
1885,test,Weekly seasonal naive,0.5506984585741811,0.06502890173410404,0.954175988461414
1885,test,Weekday mean 56d,0.4052565028901734,-0.025861030828516377,0.6911191325854357
1885,test,Gradient boosting,0.43049082914887454,0.11493687072918297,0.6828411343103504
