policy,budget_factor,lead_time,origin,order_units,purchase_spend,budget,solver_status,solver_gap
Trailing mean cover,0.8,0,1829,765,883.5420000000001,3523.6536,,
Trailing mean cover,0.8,0,1836,3101,3454.914,3454.9512,,
Trailing mean cover,0.8,0,1843,2993,3449.0640000000003,3449.1648000000005,,
Trailing mean cover,0.8,0,1850,3070,3568.5239999999994,3568.6224000000007,,
Trailing mean cover,0.8,0,1857,3131,3625.4700000000003,3625.6271999999994,,
Trailing mean cover,0.8,0,1864,3245,3741.018,3741.199200000002,,
Trailing mean cover,0.8,0,1871,3224,3703.7279999999996,3703.8059999999996,,
Trailing mean cover,0.8,0,1878,3234,3691.344,3691.3824000000004,,
Trailing mean cover,0.8,0,1885,3298,3820.9500000000003,3821.004000000002,,
Trailing mean cover,0.8,0,1892,3316,3809.694,3809.8296000000005,,
Trailing mean cover,0.8,0,1899,3417,3977.196,3977.3292000000006,,
Trailing mean cover,0.8,0,1906,3361,3930.972,3931.261200000001,,
Forecast cover,0.8,0,1829,1096,1381.128,3523.6536,,
Forecast cover,0.8,0,1836,3096,3454.608,3454.9512,,
Forecast cover,0.8,0,1843,2949,3448.6859999999992,3449.1648000000005,,
Forecast cover,0.8,0,1850,3048,3568.4460000000004,3568.6224000000007,,
Forecast cover,0.8,0,1857,3090,3625.584,3625.6271999999994,,
Forecast cover,0.8,0,1864,3232,3741.1139999999996,3741.199200000002,,
Forecast cover,0.8,0,1871,3270,3703.62,3703.8059999999996,,
Forecast cover,0.8,0,1878,3220,3691.098,3691.3824000000004,,
Forecast cover,0.8,0,1885,3292,3820.6440000000002,3821.004000000002,,
Forecast cover,0.8,0,1892,3292,3809.8199999999997,3809.8296000000005,,
Forecast cover,0.8,0,1899,3448,3977.2859999999996,3977.3292000000006,,
Forecast cover,0.8,0,1906,3382,3931.139999999999,3931.261200000001,,
Scenario optimisation,0.8,0,1829,2256,2584.1400000000003,3523.6536,0,0.0
Scenario optimisation,0.8,0,1836,3094,3454.823999999999,3454.9512,0,0.0004927503008626198
Scenario optimisation,0.8,0,1843,2992,3448.8539999999994,3449.1648000000005,0,0.0003534080958230272
