policy,budget_factor,lead_time,fill_rate,average_inventory_units,average_inventory_value,holding_cost,shortage_penalty,inventory_operating_cost,purchase_spend,stockout_item_days,budget_breaches
Trailing mean cover,0.8,0,0.8049218829776371,1829.3095238095239,2148.6214999999997,180.484206,9371.210000000001,9551.694206,41656.416000000005,726,0
Forecast cover,0.8,0,0.8105177167364443,1923.452380952381,2286.0626428571427,192.029262,8924.985,9117.014262,42153.174,648,0
Scenario optimisation,0.8,0,0.8320228734810579,2203.5833333333335,2618.8180714285713,219.980718,7937.95,8157.930718,43356.786,745,0
Trailing mean cover,1.0,0,0.947411416317778,2875.535714285714,3354.427928571428,281.77194599999996,2638.9799999999996,2920.7519459999994,50682.75,284,0
Forecast cover,1.0,0,0.9529868273256408,2964.75,3496.4920714285704,293.70533400000005,2166.93,2460.635334,51199.464,200,0
Scenario optimisation,1.0,0,0.9756560808740937,3910.1666666666665,4461.985785714285,374.80680599999994,1464.305,1839.111806,53018.22,149,0
Trailing mean cover,1.2,0,0.948779740631063,2912.440476190476,3397.4089999999997,285.382356,2577.6399999999994,2863.0223559999995,50756.958000000006,278,0
Forecast cover,1.2,0,0.9596446441335648,3113.0238095238096,3667.9610714285714,308.10873000000004,1811.98,2120.08873,51627.204000000005,175,0
Scenario optimisation,1.2,0,0.9785356887572756,4246.3452380952385,4818.034,404.71485600000005,1307.335,1712.049856,53219.724,128,0
Trailing mean cover,0.8,2,0.8204431736954968,1938.5,2300.9961428571432,193.28367599999999,8734.34,8927.623676,41769.318,838,0
Forecast cover,0.8,2,0.8249157561523537,2042.2738095238096,2457.7070714285715,206.447394,8266.505,8472.952394,42309.15,740,0
Scenario optimisation,0.8,2,0.8475850097008067,2508.2380952380954,3004.797642857143,252.40300200000001,7302.03,7554.433002,43816.33200000001,835,0
Trailing mean cover,1.0,2,0.9526600633105279,3119.6071428571427,3654.5351428571425,306.980952,2467.08,2774.060952,51246.755999999994,285,0
Forecast cover,1.0,2,0.9532319003369754,3159.654761904762,3758.7575,315.73562999999996,2197.3550000000005,2513.0906300000006,51388.46399999999,223,0
Scenario optimisation,1.0,2,0.9729398549984682,4181.690476190476,4813.717357142857,404.352258,1572.81,1977.1622579999998,53128.206,157,0
Trailing mean cover,1.2,2,0.9564382722352701,3233.0238095238096,3786.252357142857,318.04519799999997,2267.035,2585.0801979999997,51445.577999999994,269,0
Forecast cover,1.2,2,0.9616052282242418,3381.0119047619046,4015.2625,337.28204999999997,1778.105,2115.38705,51862.06799999999,189,0
Scenario optimisation,1.2,2,0.9770856734402124,4555.476190476191,5207.125571428573,437.398548,1382.53,1819.9285479999999,53369.31,127,0
Trailing mean cover,0.8,4,0.823261513325845,1976.1190476190477,2357.6929285714277,198.04620600000004,8563.245,8761.291206000002,41880.132,854,0
Forecast cover,0.8,4,0.8256918206882468,2070.154761904762,2511.383,210.95617199999998,8146.7300000000005,8357.686172,42346.644,790,0
Scenario optimisation,0.8,4,0.8437455325232309,2530.1428571428573,3060.6310714285714,257.09301000000005,7452.035000000001,7709.12801,43594.146,819,0
Trailing mean cover,1.0,4,0.954069233125702,3279.8928571428573,3854.532285714285,323.78071199999994,2393.31,2717.0907119999997,51689.994,282,0
Forecast cover,1.0,4,0.9510058204840192,3184.654761904762,3803.5044285714284,319.494372,2217.7349999999997,2537.229372,51504.227999999996,255,0
Scenario optimisation,1.0,4,0.9717553354436843,4262.357142857143,4892.337071428571,410.956314,1596.6449999999998,2007.6013139999998,53517.288,178,0
Trailing mean cover,1.2,4,0.9577861737976106,3425.1309523809523,4022.938571428571,337.92683999999997,2198.14,2536.06684,51873.486,259,0
Forecast cover,1.2,4,0.9607474726845706,3454.214285714286,4118.534214285714,345.9568739999999,1743.645,2089.601874,52063.806000000004,206,0
Scenario optimisation,1.2,4,0.9761870723986521,4635.202380952381,5298.899928571429,445.10759399999995,1378.37,1823.477594,53782.865999999995,132,0
